NAME,GEO_ID,B08534_001E,B08534_101E,B08534_102E,B08534_103E,B08534_104E,B08534_105E,B08534_106E,B08534_107E,B08534_108E,B08534_109E,B08534_110E,state,county
"Petersburg city, Virginia",51730,14310.0,210.0,110.0,45.0,6.0,0.0,0.0,32.0,0.0,17.0,0.0,51,730
"Poquoson city, Virginia",51735,2277.0,20.0,11.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,51,735
"Portsmouth city, Virginia",51740,52127.0,1378.0,666.0,240.0,102.0,150.0,0.0,171.0,25.0,0.0,24.0,51,740
"Radford city, Virginia",51750,7653.0,562.0,433.0,72.0,26.0,8.0,0.0,23.0,0.0,0.0,0.0,51,750
"Richmond city, Virginia",51760,161230.0,5170.0,1692.0,1328.0,1074.0,412.0,196.0,184.0,70.0,177.0,37.0,51,760
"Roanoke city, Virginia",51770,66295.0,1243.0,364.0,333.0,102.0,132.0,0.0,103.0,16.0,130.0,63.0,51,770
"Salem city, Virginia",51775,20658.0,930.0,637.0,119.0,118.0,0.0,0.0,0.0,0.0,46.0,10.0,51,775
"Staunton city, Virginia",51790,11332.0,502.0,281.0,62.0,51.0,36.0,0.0,58.0,0.0,14.0,0.0,51,790
"Suffolk city, Virginia",51800,35351.0,421.0,217.0,83.0,61.0,45.0,0.0,15.0,0.0,0.0,0.0,51,800
"Virginia Beach city, Virginia",51810,200743.0,5200.0,2945.0,981.0,543.0,259.0,111.0,195.0,20.0,77.0,69.0,51,810
"Waynesboro city, Virginia",51820,9556.0,182.0,67.0,27.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,51,820
"Williamsburg city, Virginia",51830,13754.0,830.0,384.0,253.0,106.0,52.0,13.0,14.0,0.0,8.0,0.0,51,830
"Winchester city, Virginia",51840,24639.0,759.0,448.0,96.0,38.0,135.0,13.0,0.0,0.0,12.0,17.0,51,840
