NAME,GEO_ID_local,Total Population,Income to Poverty Level: Under 0.50,Income to Poverty Level: 0.50 to 0.99,Income to Poverty Level: 1.00 to 1.24,Income to Poverty Level: 1.25 to 1.49,Total Male 75 to 79 years,Total Male 80 to 84 years,Total Male 85 and older,Total Female 75 to 79 years,Total Female 80 to 84 years,Total Female 85 and older,Total Not Hispanic or Latino,Total Not Hispanic or Latino White alone,Total Hispanic or Latino,Total Hispanic or Latino White alone,"Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English ""not well""","Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English ""not at all""","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English ""not well""","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English ""not at all""","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not well""","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not at all""","Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English ""not well""","Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English ""not at all""","Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English ""not well""","Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English ""not at all""","Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English ""not well""","Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English ""not at all""","Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not well""","Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not at all""","Estimate!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English ""not well""","Estimate!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English ""not at all""","Estimate!!Total:!!65 years and over:!!Speak Spanish:!!Speak English ""not well""","Estimate!!Total:!!65 years and over:!!Speak Spanish:!!Speak English ""not at all""","Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English ""not well""","Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English ""not at all""","Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English ""not well""","Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English ""not at all""","Estimate!!Total:!!65 years and over:!!Speak other languages:!!Speak English ""not well""","Estimate!!Total:!!65 years and over:!!Speak other languages:!!Speak English ""not at all""",state,county,tract,block group,poverty_ratio_sum,over_75_sum,total_minority_non_hispanic,total_minority_hispanic,total_minority,do_not_speak_english_very_well,countytract,Percent with a disability,Residents with a disability,poverty_ratio_sum_share_local,over_75_sum_share_local,total_minority_share_local,Total Hispanic or Latino_share_local,do_not_speak_english_very_well_share_local,Residents with a disability_share_local,GEOID,RN_Name,in_RN,GEO_ID_regional,poverty_ratio_sum_share_regional,over_75_sum_share_regional,total_minority_share_regional,Total Hispanic or Latino_share_regional,do_not_speak_english_very_well_share_regional,Residents with a disability_share_regional
"Block Group 2, Census Tract 903, Accomack County, Virginia",510010903002,844,264,37,23,167,0,1,18,53,15,12,803,539,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90300,2,491,99,264,0,264,0,1.90300,15.75958353052532,133.0,0.5817535545023697,0.11729857819905214,0.3127962085308057,0.0485781990521327,0.0,0.15758293838862558,510010903002,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 3, Census Tract 903, Accomack County, Virginia",510010903003,793,11,36,34,43,6,4,13,9,2,8,677,576,116,39,11,3,0,0,0,0,0,0,23,3,2,0,0,0,0,0,7,0,0,0,0,0,0,0,51,1,90300,3,124,42,101,77,178,49,1.90300,15.75958353052532,125.0,0.15636822194199243,0.05296343001261034,0.2244640605296343,0.14627994955863807,0.0617906683480454,0.15762925598991173,510010903003,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 1, Census Tract 904.01, Accomack County, Virginia",510010904011,1917,264,83,164,127,16,2,0,0,2,0,1654,763,263,259,74,0,0,0,0,0,0,0,132,128,63,52,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90401,1,638,20,891,4,895,449,1.90401,7.880910683012258,151.0,0.332811684924361,0.010432968179447054,0.4668753260302556,0.13719353155972874,0.23422013562858635,0.07876890975482524,510010904011,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 2, Census Tract 904.01, Accomack County, Virginia",510010904012,1509,11,62,40,56,58,4,0,42,0,27,1500,1069,9,9,0,0,0,0,0,0,0,0,5,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90401,2,169,131,431,0,431,41,1.90401,7.880910683012258,119.0,0.1119946984758118,0.08681245858184228,0.28561961563949634,0.005964214711729622,0.027170311464546057,0.07886017229953611,510010904012,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 1, Census Tract 904.02, Accomack County, Virginia",510010904021,2005,54,314,126,166,4,27,30,20,20,107,1517,508,488,0,0,0,0,0,0,0,0,0,95,56,72,61,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90402,1,660,208,1009,488,1497,284,1.90402,13.141335914811231,263.0,0.32917705735660846,0.10374064837905236,0.7466334164588528,0.2433915211970075,0.14164588528678304,0.13117206982543642,510010904021,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 2, Census Tract 904.02, Accomack County, Virginia",510010904022,2127,162,432,382,23,16,31,11,17,13,19,1133,637,994,469,0,0,0,0,0,0,0,0,164,155,4,2,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90402,2,999,107,496,525,1021,325,1.90402,13.141335914811231,280.0,0.4696755994358251,0.05030559473436765,0.4800188058298072,0.46732487070992007,0.152797367183827,0.1316408086506817,510010904022,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 1, Census Tract 905, Accomack County, Virginia",510010905001,455,11,110,19,6,13,0,4,0,19,14,417,376,38,38,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90500,1,146,50,41,0,41,2,1.90500,17.7701836821871,81.0,0.3208791208791209,0.10989010989010989,0.09010989010989011,0.08351648351648351,0.004395604395604396,0.17802197802197803,510010905001,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 2, Census Tract 905, Accomack County, Virginia",510010905002,1292,37,46,41,81,38,1,3,7,20,2,1114,595,178,119,0,0,0,0,0,0,0,0,32,7,66,19,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90500,2,205,71,519,59,578,124,1.90500,17.7701836821871,230.0,0.1586687306501548,0.05495356037151703,0.4473684210526316,0.13777089783281735,0.09597523219814241,0.1780185758513932,510010905002,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 3, Census Tract 905, Accomack County, Virginia",510010905003,594,179,76,30,2,15,0,0,0,0,0,589,501,5,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90500,3,287,15,88,2,90,5,1.90500,17.7701836821871,106.0,0.4831649831649832,0.025252525252525252,0.15151515151515152,0.008417508417508417,0.008417508417508417,0.17845117845117844,510010905003,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 1, Census Tract 906, Accomack County, Virginia",510010906001,411,0,0,46,57,0,0,7,17,26,16,411,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90600,1,103,66,0,0,0,0,1.90600,16.840326668544073,69.0,0.25060827250608275,0.16058394160583941,0.0,0.0,0.0,0.1678832116788321,510010906001,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 2, Census Tract 906, Accomack County, Virginia",510010906002,824,0,87,0,39,15,25,0,33,4,160,789,474,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90600,2,126,237,315,0,315,0,1.90600,16.840326668544073,139.0,0.1529126213592233,0.28762135922330095,0.38228155339805825,0.04247572815533981,0.0,0.16868932038834952,510010906002,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 3, Census Tract 906, Accomack County, Virginia",510010906003,1214,73,169,217,4,55,5,8,41,41,23,1153,585,61,36,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90600,3,463,173,568,25,593,28,1.90600,16.840326668544073,204.0,0.38138385502471167,0.14250411861614498,0.48846787479406917,0.05024711696869852,0.023064250411861616,0.16803953871499178,510010906003,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
"Block Group 4, Census Tract 906, Accomack County, Virginia",510010906004,1102,15,0,76,0,15,50,0,24,47,6,986,827,116,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,90600,4,91,142,159,48,207,0,1.90600,16.840326668544073,186.0,0.08257713248638839,0.12885662431941924,0.18784029038112524,0.10526315789473684,0.0,0.16878402903811252,510010906004,Hampton Roads Region,0,516520364892.60675,0.1780930837403862,0.061657411950879794,0.4365773494843327,0.06932557050154232,0.010449799290184872,0.12918826812356476
