NAME,GEO_ID,B01003_001E,C17002_002E,C17002_003E,C17002_004E,C17002_005E,B01001_023E,B01001_024E,B01001_025E,B01001_047E,B01001_048E,B01001_049E,B03002_002E,B03002_003E,B03002_012E,B03002_013E,B16004_007E,B16004_008E,B16004_012E,B16004_013E,B16004_017E,B16004_018E,B16004_022E,B16004_023E,B16004_029E,B16004_030E,B16004_034E,B16004_035E,B16004_039E,B16004_040E,B16004_044E,B16004_045E,B16004_051E,B16004_052E,B16004_056E,B16004_057E,B16004_061E,B16004_062E,B16004_066E,B16004_067E,state,county,tract,block group,poverty_ratio_sum,over_75_sum,total_minority_non_hispanic,total_minority_hispanic,total_minority,do_not_speak_english_very_well
"Block Group 3, Census Tract 410.04, Virginia Beach city, Virginia",518100410043,1101,19,42,18,26,51,0,0,31,14,8,951,670,150,47,24,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41004,3,105,104,281,103,384,50
"Block Group 4, Census Tract 410.04, Virginia Beach city, Virginia",518100410044,1806,78,31,65,11,45,32,36,40,0,74,1536,993,270,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41004,4,185,227,543,231,774,0
"Block Group 1, Census Tract 412, Virginia Beach city, Virginia",518100412001,1126,0,45,11,135,16,12,15,30,16,37,1117,1051,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41200,1,191,126,66,0,66,0
"Block Group 2, Census Tract 412, Virginia Beach city, Virginia",518100412002,2521,115,118,0,51,16,13,16,0,0,37,2425,2191,96,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41200,2,284,82,234,14,248,0
"Block Group 3, Census Tract 412, Virginia Beach city, Virginia",518100412003,1565,46,73,41,21,25,15,46,33,17,69,1461,1267,104,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41200,3,181,205,194,42,236,0
"Block Group 4, Census Tract 412, Virginia Beach city, Virginia",518100412004,716,0,0,24,0,15,14,0,0,30,28,716,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41200,4,24,87,125,0,125,0
"Block Group 1, Census Tract 414, Virginia Beach city, Virginia",518100414001,2286,33,0,0,51,29,48,25,40,73,0,2203,1582,83,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,51,810,41400,1,84,215,621,53,674,17
"Block Group 2, Census Tract 414, Virginia Beach city, Virginia",518100414002,1541,34,7,0,18,5,0,15,18,7,0,1493,1383,48,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41400,2,59,45,110,38,148,0
"Block Group 3, Census Tract 414, Virginia Beach city, Virginia",518100414003,1272,9,44,0,0,30,8,9,28,29,16,1272,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41400,3,53,120,108,0,108,0
"Block Group 1, Census Tract 416, Virginia Beach city, Virginia",518100416001,1056,0,0,0,36,21,52,10,38,0,21,1041,985,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41600,1,36,142,56,0,56,0
"Block Group 2, Census Tract 416, Virginia Beach city, Virginia",518100416002,870,18,3,7,109,0,19,0,51,7,15,770,575,100,83,0,0,0,0,0,0,0,0,18,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,51,810,41600,2,137,92,195,17,212,28
"Block Group 3, Census Tract 416, Virginia Beach city, Virginia",518100416003,775,19,0,79,19,36,37,52,102,10,70,775,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,51,810,41600,3,117,307,87,0,87,4
"Block Group 4, Census Tract 416, Virginia Beach city, Virginia",518100416004,711,9,0,0,0,10,0,19,11,9,0,683,475,28,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,62,0,0,51,810,41600,4,9,49,208,28,236,83
"Block Group 1, Census Tract 418.01, Virginia Beach city, Virginia",518100418011,2637,273,84,42,509,62,0,18,35,37,0,2575,2244,62,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41801,1,908,152,331,10,341,0
"Block Group 2, Census Tract 418.01, Virginia Beach city, Virginia",518100418012,761,0,0,0,111,0,0,0,0,0,0,727,392,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41801,2,111,0,335,34,369,0
"Block Group 3, Census Tract 418.01, Virginia Beach city, Virginia",518100418013,1189,72,99,6,0,7,77,0,0,11,12,1020,755,169,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41801,3,177,107,265,43,308,0
"Block Group 1, Census Tract 418.03, Virginia Beach city, Virginia",518100418031,1783,53,16,30,0,18,0,18,19,0,40,1769,1645,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41803,1,99,95,124,0,124,0
"Block Group 2, Census Tract 418.03, Virginia Beach city, Virginia",518100418032,1556,0,54,0,27,0,0,0,23,0,0,1531,1448,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41803,2,81,23,83,0,83,0
"Block Group 1, Census Tract 418.04, Virginia Beach city, Virginia",518100418041,547,11,0,0,0,0,49,89,14,0,102,547,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41804,1,11,254,51,0,51,0
"Block Group 2, Census Tract 418.04, Virginia Beach city, Virginia",518100418042,1041,38,0,0,73,0,2,12,2,0,0,1041,990,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41804,2,111,16,51,0,51,18
"Block Group 3, Census Tract 418.04, Virginia Beach city, Virginia",518100418043,1305,112,0,30,38,5,16,14,22,17,14,1305,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,41804,3,180,88,73,0,73,0
